"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.73","","","","41.994",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.863","","","","42.939",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","0.026","","","54.767","","","","42.118",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.067","","0.192","","41.74",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","0.021","","","54.818","","","","41.707",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.286","","","","41.743",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.405","","0.201","","41.772",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.509","","","","42.16",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.607","","0.248","","42.255",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.023","","0.184","","41.248",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","53.524","","0.185","","41.912",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","53.927","","","","41.991",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.479","","0.258","","42.498",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.458","","0.302","","41.802",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.354","","","","42.156",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.26","","","","42.093",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.172","","","","41.667",
